{431fb779-148d-4b16-aaab-52eeb2c65640} event:/cars/tatuusfa1/backfire_ext
{b3bfdbea-1234-4187-a7ae-7d4cdd7733d9} event:/cars/tatuusfa1/backfire_int
{806844fc-8742-49c4-a2af-b50000eb2dc1} event:/cars/tatuusfa1/bodywork
{778ebd3c-e5df-47f9-a7b4-6f90b0ee4628} event:/cars/tatuusfa1/door
{5fdbe5d7-17e3-4465-8eb3-8907d258c70a} event:/cars/tatuusfa1/engine_ext
{b0b4d0ad-e7f6-43d2-bb85-ce578a596b96} event:/cars/tatuusfa1/engine_int
{79068e60-2e68-4071-9b16-109ebe9b3393} event:/cars/tatuusfa1/gear_ext
{0ee188c3-98f4-4572-bde3-6cadcc14d51b} event:/cars/tatuusfa1/gear_grind
{1d030c53-1d77-44e8-8586-b6fe5a5dc5dd} event:/cars/tatuusfa1/gear_int
{b6820ea4-617d-48c1-8cd3-2e4ca8cbea7c} event:/cars/tatuusfa1/horn
{08efac47-cc16-4a10-b73e-fed5a2bf9320} event:/cars/tatuusfa1/limiter
{38362039-2075-4eb9-91e5-6200f9f1d4e3} event:/cars/tatuusfa1/skid_ext
{ea46972e-8594-4a54-976f-01688943c0d4} event:/cars/tatuusfa1/skid_int
{ea3b8f58-f2d6-4d02-bf92-85461b3d3888} event:/cars/tatuusfa1/tractioncontrol_ext
{fcff67ea-f037-4a55-b5d4-a4dc6e337dbb} event:/cars/tatuusfa1/tractioncontrol_int
{089793a6-e7a3-4262-806d-4ff0281406f8} event:/cars/tatuusfa1/transmission
{c76e2923-cf98-425c-9c4e-22a20ac0891f} event:/cars/tatuusfa1/turbo
{cfb442dc-daca-4705-bec1-caf7dd4bfabf} event:/cars/tatuusfa1/wheel
{19c17954-1109-4225-b81e-fff635faa85a} event:/cars/tatuusfa1/wind
{2ca965f5-4d5a-4a96-b6db-8fcea499a3ef} event:/cars/B16A/backfire_ext
{058a1656-52c8-4f51-a422-075b04fdd5c9} event:/cars/B16A/backfire_int
{06323a62-4ff2-4231-9f14-791078375992} event:/cars/B16A/bodywork
{bb724547-84c4-400a-a184-97575a24994c} event:/cars/B16A/door
{58328a63-58b7-48d9-a56c-8a8b38a2c463} event:/cars/B16A/engine_ext
{76489d36-d60d-49fc-b3a7-aaec7d78f6ce} event:/cars/B16A/engine_int
{fc27a0e5-4536-4829-8209-8ede44ad1e80} event:/cars/B16A/gear_ext
{0cc14851-d719-4fdc-a243-43f1baab3438} event:/cars/B16A/gear_grind
{98fca757-a807-4489-876a-d7b8c9330871} event:/cars/B16A/gear_int
{471f8709-24a3-47bd-a0a5-1ace12a923cd} event:/cars/B16A/horn
{52cef15a-1486-438c-a97d-a45bc6649829} event:/cars/B16A/limiter
{7e61f281-4c85-4d5e-94e7-14e9fd5d533d} event:/cars/B16A/skid_ext
{3b07e9b3-b3cf-4351-ba4a-fc3680453dde} event:/cars/B16A/skid_int
{ee1cfec0-6d92-42e2-a086-66933dd1f5b5} event:/cars/B16A/tractioncontrol_ext
{3ef4104d-acfa-4cb8-abb2-1d861ae06afe} event:/cars/B16A/tractioncontrol_int
{f022049d-6dfc-49b3-b2d9-f3e85760e3ea} event:/cars/B16A/transmission
{ac783280-0317-4cf5-b017-fa2f2b8a9974} event:/cars/B16A/turbo
{1f344bdf-7694-4638-b6bc-1d4f7a0066e3} event:/cars/B16A/wheel
{63cb5527-8e2e-4387-9b51-007c694686c1} event:/cars/B16A/wind
{86aea438-fcd6-40e3-9576-89c88d93d7b3} event:/cars/B16B/backfire_ext
{c60deeb4-92df-4ca0-9c2a-e15fca5f85fe} event:/cars/B16B/backfire_int
{c9527a8b-1432-476f-b7c5-9e7ff730ef9d} event:/cars/B16B/bodywork
{d0381196-0d10-41ab-b1da-7ca83234ae3e} event:/cars/B16B/door
{8cb716a8-73fb-46eb-bcda-e085fcfd82eb} event:/cars/B16B/engine_ext
{e3c282c8-c524-4321-b1b6-b8171501aec9} event:/cars/B16B/engine_int
{b8ed3244-9c9f-4f8e-a027-b3f3e19e72bc} event:/cars/B16B/gear_ext
{a3003fd3-7046-45b2-8a58-116b35cdeadd} event:/cars/B16B/gear_grind
{3ef39d69-9177-454c-9a4a-2b37182fae49} event:/cars/B16B/gear_int
{c5915545-fe34-4406-b0e2-e7eacdc18692} event:/cars/B16B/horn
{cae91307-02b7-4aa0-aa9e-59399b76d204} event:/cars/B16B/limiter
{19802858-588a-4fc0-b61e-9e3803825a46} event:/cars/B16B/skid_ext
{591b75c9-487a-4cff-8548-890526fcdb71} event:/cars/B16B/skid_int
{335c793b-a2a6-42db-9820-17d80a7bfd09} event:/cars/B16B/tractioncontrol_ext
{cc7043d6-7966-41b6-b445-12e3ba28b7de} event:/cars/B16B/tractioncontrol_int
{4acf557d-e72b-44d4-9391-505acfdaa427} event:/cars/B16B/transmission
{6ef1d8a0-e40e-441d-8a08-42dc35c0bbb9} event:/cars/B16B/turbo
{65a55404-933c-4a0e-bc8a-5363d714976a} event:/cars/B16B/wheel
{12ef664f-71f7-4316-aee7-5513cf0da7e9} event:/cars/B16B/wind
{cd963f26-7a54-4775-9525-1e33e8fe2511} event:/cars/lm_fusca_solocup/backfire_ext
{704e96f1-6f6a-4560-bd24-8a7a06544ab8} event:/cars/lm_fusca_solocup/backfire_int
{e132bc29-ec3a-4a83-a082-b2d49152eb2c} event:/cars/lm_fusca_solocup/bodywork
{c2a87f77-a979-4051-8c06-cb5711d9b316} event:/cars/lm_fusca_solocup/door
{bd0b2f60-c121-4266-8bcd-0ec1325cd13f} event:/cars/lm_fusca_solocup/engine_ext
{2f8f9694-69b9-4889-887e-9dc237352031} event:/cars/lm_fusca_solocup/engine_int
{bf5e0f55-1b1c-4c12-a56c-2844bcb4123e} event:/cars/lm_fusca_solocup/gear_ext
{3a4630f8-bda3-40b8-b57a-caf73b3c9fff} event:/cars/lm_fusca_solocup/gear_grind
{f5e8fdcf-cb34-4ab1-b61b-63d4900dd0f9} event:/cars/lm_fusca_solocup/gear_int
{c99e0083-ecca-41d8-844f-58f0df1945e7} event:/cars/lm_fusca_solocup/horn
{ebe50871-b9cc-40c0-bf3b-2299691b956f} event:/cars/lm_fusca_solocup/limiter
{1d82f04f-ca36-4d43-8ca0-e95af48f0fcc} event:/cars/lm_fusca_solocup/skid_ext
{3c1c8da7-22b5-47b2-aa23-2ab5f9fa4fdb} event:/cars/lm_fusca_solocup/skid_int
{552508af-5b11-429a-a0c6-cc994a2e8f13} event:/cars/lm_fusca_solocup/tractioncontrol_ext
{e6bc144a-f48c-491e-8615-78a28ce387f3} event:/cars/lm_fusca_solocup/tractioncontrol_int
{6bca53b8-9ac4-4195-afd4-e401ae89cb9e} event:/cars/lm_fusca_solocup/transmission
{f5299da2-d9f5-4795-ba9d-6a5d4341b1ba} event:/cars/lm_fusca_solocup/turbo
{d45b0e7a-771a-4402-a8f3-07fab01fcd65} event:/cars/lm_fusca_solocup/wheel
{235f73cb-8859-4d36-b1e9-836096c3c6cf} event:/cars/lm_fusca_solocup/wind
{e7a0a53c-47d9-43bc-b7b8-e52d665bb16f} event:/collisions/car/hit
{30da2dc2-9c09-4556-8501-c6d54f63b689} event:/collisions/car/scrape
{68d68373-2ebb-41cc-9825-fa6dcc0027c2} event:/collisions/object/hit
{4bd6b486-ac12-483a-8e9e-4f587f8ec27f} event:/collisions/track/hit
{e7c31cb2-ac8d-4a2a-abc0-855cf9dff82e} event:/collisions/track/scrape
{4cc7ac44-8aaf-4473-91ea-aeca681ab958} event:/common/ambience
{d1f12277-fe8f-4106-9fb2-3de595d54a1c} event:/common/dirt
{f5666b9c-c659-459c-85bd-0eff6e92f7eb} event:/common/screw
{deae65e4-a5a7-4810-8adb-277fe4a96aa3} event:/common/unscrew
{f12c4de3-d817-4689-8985-f3a55d2274fc} event:/showrooms/showroom
{2cf5323a-2b34-4e01-ab6c-d0d6183d4ba7} event:/surfaces/extraturf
{62b4885a-92af-4af5-9f6d-2a467ffa2e3f} event:/surfaces/grass
{28e7a4ab-0e1c-4664-a7d8-b5fd89b024a0} event:/surfaces/gravel
{599532a9-5dac-40b8-8458-b0d16f89699a} event:/surfaces/kerb
{25b9a4aa-b8f7-4c53-ae28-0b98d81f732e} event:/surfaces/old
{7aa66622-f8c0-45b0-9650-89f6fc14cab1} event:/surfaces/sand
{c9bdf030-dda2-4d7c-9787-3dc4a166160c} event:/surfaces/tyre_rolling
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
{4f6969ac-b7e1-45e5-84f1-31bc6f135357} bank:/showroom
{4b92e6ce-e701-48dd-8dc2-cb371c15dbfe} bank:/tatuusfa1
{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
{c4fe5639-6f4a-4cdb-9985-7856cc67b067} bank:/B16A
{23dc1fc8-0f96-44fa-9579-9270c96c6f61} bank:/B16B
{901717e5-7963-4268-902b-83697db93549} bank:/lm_fusca_solocup
