{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
{370b035e-7303-4bee-866b-dbeb9fe8af26} bank:/ne_mitsubishi_gto_wangan_sl_v2
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{4f9a1a3c-f9b6-4fc3-8316-7e699e8d8f53} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/backfire_ext
{b17aa185-4819-4909-b2bf-02dd7920170a} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/backfire_int
{3521a9a1-9203-4613-bfa0-1dac04136f52} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/bodywork
{e862be6c-35e1-4537-ac61-6d68ae4804b7} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/door
{d8deb7ee-4c0f-4555-8553-95c40a8811fa} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/engine_ext
{d0e7e6d2-a346-49a0-8955-eda63abc74b5} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/engine_int
{6ea77b40-b288-4149-b939-b520e68a778a} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/gear_ext
{6170c279-1ac1-40a6-87fa-039cb1c1e5e5} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/gear_grind
{f16e3d81-e30d-4898-8e11-44581a600d55} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/gear_int
{139406ab-21fc-4b04-8f82-4d02af5c7e10} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/horn
{0e6c3975-adb0-4706-b453-7f198c211256} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/limiter
{165f3377-9196-4c47-8806-34aac9ecdd4e} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/skid_ext
{b324da9e-6c35-427b-aee7-4dae28c63d29} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/skid_int
{2b72a509-a28e-4679-901a-00e5d668cb47} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/wheel
{10c2655c-906d-4c31-9383-b9a2deb1345e} event:/cars/ne_mitsubishi_gto_wangan_sl_v2/wind
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
